№,Модель,организация,адрес
13381.0,Diebold Nixdorf CINEO C4060 EPP6,"РГКП ""НАЦИОНАЛЬНЫЙ НАУЧНО-ПРАКТИЧЕСКИЙ, ОБРАЗОВАТЕЛЬНЫЙ И ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР ""БОБЕК"" МОН РК","ул.Байкенова, д.44"
13385.0,Diebold Nixdorf CINEO C2590 EPP6,ЦПС №30 (134002),"г.Алматы,Жетысу-4, дом 13 А"
13389.0,Diebold Nixdorf CINEO C4060 EPP8,"ТЦ ""Р?ш""","г. Алматы, мкр. 4, д.10А, ЦПС № 34 (131405)"
13408.0,Diebold Nixdorf CINEO C4060 EPP6,КазГАСА ,"ул. Рыскулбекова, 28"
13412.0,Diebold Nixdorf CINEO C4060 EPP6,"ТОО ""Дудар"""," ул. Немировича Данченко, д. 51Б"
13414.0,GRG H48VD-островной Cash-in,ТД АРЫСТАН,"ул. Жубанова, 20Б"
13416.0,GRG H48VD-островной Cash-in,"ТОО ИСК ""МАСАТО""","ул. Жандосова, 162 А"
13421.0,Diebold Nixdorf CINEO C4060 EPP6,"ТОО ""Hyundai Trans Kazakhstan""","г. Алматы, Алатауский район, мкр. Алгабас, улица 7, дом 138/5"
13425.0,Diebold Nixdorf CINEO C2560 CashIn  EPP8,ЦПС №32,Мкр. Нуркент 5-22
13433.0,Diebold Nixdorf CINEO C4060 EPP8,Городская детская поликлиника№2,"Микр.2, 54"
13438.0,Diebold Nixdorf CINEO C2590 EPP8 кнопочный,ЦПС №33 (131403),"пр. Райымбека, 383, уг. ул. Емцова"
13445.0,GRG H48VD-островной Cash-in,Супермаркет Тоймарт,"мкр.11, 27"
13446.0,GRG H48VD-островной Cash-in,"на территории магазина ""Asar""","мкр. Орбита 2, 2"
13454.0,Diebold Nixdorf CINEO C4060 EPP8,ЦБО №1,"мкр. Аксай - 2, д. 12"
13459.0,Diebold Nixdorf CINEO C4060,ТРЦ Shanyraq Plaza,"мкр Шанырак-2, ул.Сырым батыра, 209а"
13461.0,Diebold Nixdorf CINEO C4060 EPP8,"?Супермаркет ""Orange""","г. Алматы, ул. Утеген батыра, 90"
13463.0,Diebold Nixdorf CINEO C4060 EPP6,"ТЦ ""Alatau Plaza""","ул.Ырыста, 46/4"
13466.0,Diebold Nixdorf CINEO C4060 EPP8,ЦПС №33 (131403),"пр. Райымбека, 383, уг. ул. Емцова"
13469.0,Diebold Nixdorf CINEO C2560 CashIn  EPP8,Магазин БЕРЕКЕ (ТОО Кабанбай Инвест),"г.Алматы, мкр.Акжар, ул.Егенсу 39/17"
13471.0,Diebold Nixdorf CINEO C2560 CashIn  EPP8,"Магазин ""Берекелик""","мкр.Туркестан, 35-А"
13474.0,Diebold Nixdorf CINEO C2590 EPP8,ЦПС №33 (131403),"пр. Райымбека, 383, уг. ул. Емцова"
13475.0,Diebold Nixdorf CINEO C2590 EPP8,ЦПС №33 (131403),"пр. Райымбека, 383, уг. ул. Емцова"
13477.0,Diebold Nixdorf CINEO C2590 EPP8,"магазин ""ASAR""","мкр. Таугуль 1, дом 58"
13481.0,Diebold Nixdorf CINEO C2590 EPP8,ТД Bahas,"мкр.Саялы, ул.Аксай, 1"
13483.0,Diebold Nixdorf CINEO C2590 EPP8,ЦПС №33 (131403),"пр. Райымбека, 383, уг. ул. Емцова"
13484.0,Diebold Nixdorf CINEO C2590 EPP8,"Универсальный рынок ""Тау Самалы""","ул. Кунаева, 35в/2"
13488.0,Diebold Nixdorf CINEO C2590 EPP8,ТД TORNADO,"г.Алматы, мкр. 3, 20а"
13489.0,Diebold Nixdorf CINEO C2590 EPP8,Супермаркет Димаш,"мкр.Дарабоз, 39"
13490.0,Diebold Nixdorf CINEO C2590 EPP8,"стоматологическая клиника ""Sanitas Pharm""","г.Алматы, мкр. 2, д.55-б"
13494.0,Diebold Nixdorf CINEO C2590 EPP8,"стоматологическая клиника ""Sanitas Pharm""","г.Алматы, мкр. 2, д.55-б"
13501.0,Diebold Nixdorf CINEO DN 2000 EPP8,"г.Алматы, мкр.Шугыла, 347, 131436 ",Центр персонального сервиса №61
13503.0,GRG H48VD-островной Cash-in,City market,"ул.Утеген батыра, 11в к4"
13504.0,GRG H48VD-островной Cash-in,Торговый дом The Boxpark,"6-й микрорайон, 11 А"
13505.0,GRG H48VD-островной Cash-in,ЦБО №1,"мкр. Аксай - 2, д. 12"
13507.0,GRG H48VD-островной Cash-in,ЦБО №1,"мкр. Аксай - 2, д. 12"
13508.0,GRG H48VD-островной Cash-in,ЦПС №42 (131513),"г. Алматы, мкр. Орбита 3, д.4"
13509.0,GRG H48VD-островной Cash-in,ЦПС №42 (131513),"г. Алматы, мкр. Орбита 3, д.4"
13511.0,GRG H48VD-островной Cash-in,"ТОО ИСК ""МАСАТО""","ул. Жандосова, 162 А"
13512.0,GRG H48VD-островной Cash-in,"г. Алматы, мкр. ""Астана"", 8Б , отделение №131434 ",Центр персонального сервиса №38
13513.0,GRG H48VD-островной Cash-in,ЦПС №42 (131513),"г. Алматы, мкр. Орбита 3, д.4"
13515.0,GRG H48VD-островной Cash-in,ТЦ Qaratau,"ул.Щепкина, 35Б"
13519.0,GRG H48VD-островной Cash-in,ЦПС №42 (131513),"г. Алматы, мкр. Орбита 3, д.4"
13522.0,GRG H48VD-островной Cash-in,"ТД ""Мир""","2 мкр, 28А"
13526.0,GRG H48VD-островной Cash-in,ЦПС №42 (131513),"г. Алматы, мкр. Орбита 3, д.4"
13527.0,GRG H48VD-островной Cash-in,ТОО Управляющая компания «Ком-Service»,ул.Алтын Орда
13530.0,GRG H68V-межстенный Cash-in,Супермаркет Авоська,"п. Каргалы, ЖК ""Хан Тенгри"" ул. Мустафина, д. 54/14,кор.2 пом.2"
13533.0,GRG H68V-межстенный Cash-in,Магазин «Золотое руно»," г.Алматы, мкр, Таусамал. Ул.Рыскулова д 90а"
13536.0,GRG H68VL-офисный,"ТЦ ""Метро""", г. Алматы ул.Саина 16Г
13538.0,GRG H68VL-офисный,ЦПС №32,Мкр. Нуркент 5-22
13545.0,GRG H68V-межстенный Cash-in,минимаркет Керемет,Кенжина 4/1
13547.0,GRG H68VL-офисный,"ТД ""Армада""","г. Алматы, ул. З. Кадболова 1/8"
13548.0,GRG H68VL-офисный,"Автовокзал ""Сайран""","ул.Толе би, 294"
13550.0,GRG H68VL-офисный,ЦПС №3 при Апорт,"Трасса Алматы-Бишкек, уч.767"
13551.0,GRG H68VL-офисный,ЦПС №3 при Апорт,"Трасса Алматы-Бишкек, уч.767"
13552.0,GRG H68VL-офисный,ЦПС №3 при Апорт,"Трасса Алматы-Бишкек, уч.767"
13558.0,GRG H68VL-офисный,ЦПС №3 при Апорт,"Трасса Алматы-Бишкек, уч.767"
13561.0,GRG H68VL-офисный,Маркет TUMAR,"г. Алматы, мкр.Гажайып 5/1блок 11,"
13563.0,GRG H68VL-офисный,"Супермаркет ""Магнум""","г. Алматы, мкр. Ак-Булак, ул. АЗТМ, 273"
13569.0,GRG H68VL-офисный,"Супермаркет ""Магнум""","г. Алматы, мкр. Ак-Булак, ул. АЗТМ, 273"
13575.0,GRG H68VL-офисный,"пивной магазин ""Волна""","г.Алматы, мкр. Мамыр-2, д.3"
13576.0,GRG H68VL-офисный,"ТД ""Армада""","г. Алматы, ул. З. Кадболова 1/8"
13577.0,GRG H68VL-офисный,Супермаркет Нурым,"г.Алматы, мкр.Шугыла, ул.Сыгай, 12"
13579.0,GRG H68VL-офисный,Мини-маркет Жибек,"г.Алматы, мкр.Шугыла, 340/4 к4"
13580.0,GRG H68VL-офисный,Magnum Super,"ул.Жунисова, 14/15"
13581.0,GRG H68VL-офисный,"Минимаркет ""Ер-Айко""","г. Алматы, мкр. Калкаман-2, ул. Молдабекова, 11"
13589.0,GRG H68VL-офисный,Магазин Олжас,"г.Алматы, ул.Байтенова, 61"
13590.0,GRG H68VL-офисный,ТД Коктем,"г.Алматы, мкр.Шу?ыла, ул.Жуалы, д.90"
13594.0,GRG H68VL-офисный,ТОО «Magnum Cash &Carry» АФ 1,"г. Алматы, мкр. Жетысу-3, 1Г (пр. Абая, уг. ул. Момышулы)"
13596.0,GRG H68VL-офисный,Магазин «Адия»,"г. Алматы, мкр. Шугыла, 341/3 к2"
13597.0,GRG H68VL-офисный,супермаркет Toimart,"ул. Бакшалы, 7/29"
13600.0,GRG H68VL-офисный,"ТЦ ""Метро""", г. Алматы ул.Саина 16Г
13601.0,GRG H68VL-офисный,"Супермаркет ""Магнум""","г. Алматы, мкр. Ак-Булак, ул. АЗТМ, 273"
13602.0,GRG H68VL-офисный,"Супермаркет ""Магнум""","г. Алматы, мкр. Ак-Булак, ул. АЗТМ, 273"
13603.0,GRG H68VL-офисный,"ТРК ""A'PORT""","г. Алматы, трасса Алматы-Бишкек"
13604.0,GRG H68VL-офисный,"ТРК ""A'PORT"" (возле ЦПС №3 АОФ)","г. Алматы, трасса Алматы-Бишкек"
13606.0,GRG H68VL-офисный,Magnum Express,"г. Алматы, мкр.Аксай-3А, д.79А"
13608.0,GRG H68VL-офисный,"Строительный магазин ""12 МЕСЯЦЕВ""","пр. Райымбека, 516"
13609.0,GRG H68VL-офисный,"ТРЦ ""Asia Park""","г. Алматы, ул. Райымбека, 514 А,  уг.ул. Саина"
13611.0,GRG H68VL-офисный,мини-маркет Jaqsy,"г.Алматы, мкр.Саялы, д.105"
13613.0,GRG H68VL-офисный,супермаркет Econom market ,"г.Алматы, ул.Жанкожа батыра, 194"
13626.0,GRG H68VL-офисный,"ТРЦ ""Спутник"" ","г. Алматы, мкр. Мамыр-1, 8А (ул. Б. Момышулы, уг. ул. Шаляпина)"
13627.0,GRG H68VL-офисный,"ТРЦ ""Спутник"" ","г. Алматы, мкр. Мамыр-1, 8А (ул. Б. Момышулы, уг. ул. Шаляпина)"
13628.0,GRG H68VL-офисный,ЦПС №38 (131434),"г.Алматы, мкр. Астана, 8 «Б»"
13629.0,GRG H68VL-офисный,ЦПС №40 (131499),"г. Алматы, мкр. Аксай-4, 100"
13636.0,GRG H48VD-островной Cash-in,SARY ARQA STREET,"4 мкрн, 27"
13637.0,GRG H48VD-островной Cash-in,Раузе-Аде,"мкр.Орбита, 1, 6"
13657.0,GRG H68VL-офисный,ЦПС №61,"г.Алматы, мкр.Шугыла, 347"
13659.0,GRG H68V-межстенный Cash-in,"Магазин ""Золотое руно""","мкр. Таусамал., ул. Рыскулова, 90а  "
13660.0,GRG H68VL-офисный,"ТРЦ ""Москва""","мкр.8, 37/1"
13661.0,GRG H68VL-офисный,ТОО HAMAL corp,"мкр Алгабас, улица 7 (семь), дом 130/13"
13664.0,GRG H68VL-офисный,ЦПС №37 (131431)," г.Алматы, мкр. Шанырак-2, ул.Жан?ожа батыра д.26"
13666.0,GRG H48VD-островной Cash-in,Н?р маркет,"ул.Кали Надырова, 128"
13668.0,GRG H68VL-офисный,"ТРЦ ""Москва""","мкр.8, 37/1"
13671.0,GRG H68VL-офисный,"ТРЦ ""Asia Park""","г. Алматы, ул. Райымбека, 514 А,  уг.ул. Саина"
13686.0,GRG H68VL-офисный,"ТРЦ ""Москва""","мкр.8, 37/1"
13050011.0,АПП 2,"г. Алматы, м-н Аксай-4, д-100 ",Центр персонального сервиса №40
13050018.0,АПП 2,"г. Алматы, м-н Аксай-4, д-100 ",Центр персонального сервиса №40
13050020.0,АПП 2,"г.Алматы, мкр.Шугыла, 347, 131436 ",Центр персонального сервиса №61
13050021.0,АПП 2,"г. Алматы, м-н Аксай-4, д-100 ",Центр персонального сервиса №40
13060015.0,АПП 2,"г.Алматы, мкр.Аксай-2, д.12 ЦБО-1. Отделение 134009 ",Центр банковского обслуживания №1
13060023.0,АПП 2,"г. Алматы, мкр. Нуркент 5-22, ЦПС № 32 ",Центр персонального сервиса №32
13060026.0,АПП 2,"г. Алматы, ул. Жанкожа батыра, 24. 131431 ",Центр персонального сервиса №37
13060028.0,АПП 2,"г.Алматы, мкр.Аксай-2, д.12 ЦБО-1. Отделение 134009 ",Центр банковского обслуживания №1
13070006.0,Glory DE 100,"г.Алматы, мкр.Аксай-2, д.12 ЦБО-1. Отделение 134009 ",Центр банковского обслуживания №1
