"atm_number","model","organization","address","sector","region"
"13594","GRG H68VL-офисный","ТОО «Magnum Cash &Carry» АФ 1","г. Алматы, мкр. Жетысу-3, 1Г (пр. Абая, уг. ул. Момышулы)","","Запад"
"13596","GRG H68VL-офисный","Магазин «Адия»","г. Алматы, мкр. Шугыла, 341/3 к2","","Запад"
"13597","GRG H68VL-офисный","супермаркет Toimart","ул. Бакшалы, 7/29","","Запад"
"13600","GRG H68VL-офисный","ТЦ ""Метро""","г. Алматы ул.Саина 16Г","","Запад"
"13601","GRG H68VL-офисный","Супермаркет ""Магнум""","г. Алматы, мкр. Ак-Булак, ул. АЗТМ, 273","","Запад"
"13602","GRG H68VL-офисный","Супермаркет ""Магнум""","г. Алматы, мкр. Ак-Булак, ул. АЗТМ, 273","","Запад"
"13603","GRG H68VL-офисный","ТРК ""A'PORT""","г. Алматы, трасса Алматы-Бишкек","","Запад"
"13604","GRG H68VL-офисный","ТРК ""A'PORT"" (возле ЦПС №3 АОФ)","г. Алматы, трасса Алматы-Бишкек","","Запад"
"13606","GRG H68VL-офисный","Magnum Express","г. Алматы, мкр.Аксай-3А, д.79А","","Запад"
"13608","GRG H68VL-офисный","Строительный магазин ""12 МЕСЯЦЕВ""","пр. Райымбека, 516","","Запад"
"13609","GRG H68VL-офисный","ТРЦ ""Asia Park""","г. Алматы, ул. Райымбека, 514 А,  уг.ул. Саина","","Запад"
"13611","GRG H68VL-офисный","мини-маркет Jaqsy","г.Алматы, мкр.Саялы, д.105","","Запад"
"13613","GRG H68VL-офисный","супермаркет Econom market","г.Алматы, ул.Жанкожа батыра, 194","","Запад"
"13626","GRG H68VL-офисный","ТРЦ ""Спутник""","г. Алматы, мкр. Мамыр-1, 8А (ул. Б. Момышулы, уг. ул. Шаляпина)","","Запад"
"13627","GRG H68VL-офисный","ТРЦ ""Спутник""","г. Алматы, мкр. Мамыр-1, 8А (ул. Б. Момышулы, уг. ул. Шаляпина)","","Запад"
"13628","GRG H68VL-офисный","ЦПС №38 (131434)","г.Алматы, мкр. Астана, 8 «Б»","","Запад"
"13629","GRG H68VL-офисный","ЦПС №40 (131499)","г. Алматы, мкр. Аксай-4, 100","","Запад"
"13636","GRG H48VD-островной Cash-in","SARY ARQA STREET","4 мкрн, 27","","Запад"
"13637","GRG H48VD-островной Cash-in","Раузе-Аде","мкр.Орбита, 1, 6","","Запад"
"13657","GRG H68VL-офисный","ЦПС №61","г.Алматы, мкр.Шугыла, 347","","Запад"
"13659","GRG H68V-межстенный Cash-in","Магазин ""Золотое руно""","мкр. Таусамал., ул. Рыскулова, 90а","","Запад"
"13660","GRG H68VL-офисный","ТРЦ ""Москва""","мкр.8, 37/1","","Запад"
"13661","GRG H68VL-офисный","ТОО HAMAL corp","мкр Алгабас, улица 7 (семь), дом 130/13","","Запад"
"13664","GRG H68VL-офисный","ЦПС №37 (131431)","г.Алматы, мкр. Шанырак-2, ул.Жан?ожа батыра д.26","","Запад"
"13666","GRG H48VD-островной Cash-in","Н?р маркет","ул.Кали Надырова, 128","","Запад"
"13668","GRG H68VL-офисный","ТРЦ ""Москва""","мкр.8, 37/1","","Запад"
"13671","GRG H68VL-офисный","ТРЦ ""Asia Park""","г. Алматы, ул. Райымбека, 514 А,  уг.ул. Саина","","Запад"
"13686","GRG H68VL-офисный","ТРЦ ""Москва""","мкр.8, 37/1","","Запад"
"13050011","АПП 2","г. Алматы, м-н Аксай-4, д-100","Центр персонального сервиса №40","","Запад"
"13050018","АПП 2","г. Алматы, м-н Аксай-4, д-100","Центр персонального сервиса №40","","Запад"
"13050020","АПП 2","г.Алматы, мкр.Шугыла, 347, 131436","Центр персонального сервиса №61","","Запад"
"13050021","АПП 2","г. Алматы, м-н Аксай-4, д-100","Центр персонального сервиса №40","","Запад"
"13060015","АПП 2","г.Алматы, мкр.Аксай-2, д.12 ЦБО-1. Отделение 134009","Центр банковского обслуживания №1","","Запад"
"13060023","АПП 2","г. Алматы, мкр. Нуркент 5-22, ЦПС № 32","Центр персонального сервиса №32","","Запад"
"13060026","АПП 2","г. Алматы, ул. Жанкожа батыра, 24. 131431","Центр персонального сервиса №37","","Запад"
"13060028","АПП 2","г.Алматы, мкр.Аксай-2, д.12 ЦБО-1. Отделение 134009","Центр банковского обслуживания №1","","Запад"
"13070006","Glory DE 100","г.Алматы, мкр.Аксай-2, д.12 ЦБО-1. Отделение 134009","Центр банковского обслуживания №1","","Запад"
"13070007","CMT CashScroll-17","г.Алматы, ул. Кабдолова, 1/8","ЦПС №11 (131480)","","Запад"
"13070012","CMT CashScroll-17","ТРЦ ""Алматы Mall""","ул. Жандосова, 83","","Запад"
"13070013","CMT CashScroll-17","Супермаркет ""Магнум""","г. Алматы, мкр. Ак-Булак, ул. АЗТМ, 273","","Запад"
"13070017","CMT CashScroll-17","г.Алматы, мкр.Аксай-2, д.12 ЦБО-1. Отделение 134009","Центр банковского обслуживания №1","","Запад"
"13070026","Glory DE 100","г. Алматы, ул. Сайна, 16В, METRO","ТЦ ""Метро""","","Запад"
"13070028","Glory DE 100","г. Алматы, мкр. Рахат 244А,","ГК Магнар (TOO Dairy Food TC)","","Запад"
"13080001","БТС-3","г. Алматы, мкр. Орбита-3, д.4, 131513","Центр персонального сервиса №42","","Запад"
"13080021","БТС-3","г. Алматы, мкр. ""Астана"", 8Б , отделение №131434","Центр персонального сервиса №38","","Запад"
"13080022","БТС-3","г. Алматы, пр. Райымбека, 383 от.131403","Центр персонального сервиса №33","","Запад"
"13080024","БТС-3","г. Алматы, пр. Райымбека, 383 от.131403","Центр персонального сервиса №33","","Запад"
"13080029","БТС-3","г. Алматы, мкр. Орбита-3, д.4, 131513","Центр персонального сервиса №42","","Запад"
"13080032","БТС-3","г.Алматы, мкр.Жетысу-4, д.13А, ЦПС №30 (134002)","Центр персонального сервиса №30","","Запад"
"13080036","БТС-3","г. Алматы, мкр. Орбита-3, д.4, 131513","Центр персонального сервиса №42","","Запад"
"13080043","БТС-3","г.Алматы, ул. Кабдолова, 1/8","ЦПС №11 (131480)","","Запад"
"13080051","АПП 3","г.Алматы, мкр.8, д.37/1, ТД Москва. Отделение 134007","Отделение 134007","","Запад"
"13080054","БТС-3","г.Алматы, мкр.Жетысу-4, д.13А, ЦПС №30 (134002)","Центр персонального сервиса №30","","Запад"
"13080055","БТС-3","г. Алматы, мкр. Орбита-3, д.4, 131513","Центр персонального сервиса №42","","Запад"
"13080063","АПП 3","г. Алматы, мкр. 4, д.10А от 131405","Центр персонального сервиса №34","","Запад"
"13080069","АПП 3","г.Алматы, мкр.8, д.37/1, ТД Москва. Отделение 134007","Отделение 134007","","Запад"
"13080071","АПП 3","г. Алматы, мкр. 4, д.10А, ЦПС № 34 (131405)","Центр персонального сервиса №34","","Запад"
